"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bermuda","BMU","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.35","27.7375","23.66666667","23.83416667","23.775","23.22333333","22.18083333","18.43166667","18.87","19.15833333","14.72833333","12.81916667","12.25916667","10.9825","9.818762202","9.579951513","11.40990337","7.419766667","4.934083333","4.026508333","3.545541667","4.655833333","3.439283333","1.046668515","1.403036155","1.626153071","1.739183525","2.950136805","1.413897539","1.443787187","2.469024303","3.033806089","3.178893369","3.541220809","3.157133974","3.207656768","3.179540656","",
"Brazil","BRA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","155.5722458","154.0357913","266.7284992","294.4179006","109.104879","399.6691856","856.5210547","5844.983584","9394.293171","913.467317","1560.181598","3293.502325","5175.240553","52.24648521","26.44843341","24.35064632","28.00333333","26.0225","17.19916667","17.85666667","19.14272791","21.97069048","15.41615097","17.62874767","13.93240267","10.57725257","11.65533226","9.278831768","8.870439317","10.99236482","7.907466502","7.807103787","10.0236351","12.62245884","12.44576438","8.513533199","6.872158913","5.430175283","2.19642733","4.348053884","11.99940802","12.13876567","7.703684856",
"Barbados","BRB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","5.6","7.391666666","8.833333333","6.724999999","6.066666666","5.491666666","4.283333333","3.608333333","4.258333333","4.783333333","6.283333333","6.533333333","6.683333333","4.391666667","4.316666667","5.108333333","5.2","4.575","4.204166667","4.4","4.9725","4.039166667","2.704166667","2.563333333","2.535","3.18","4.5975","5.134166667","4.46","2.865833333","2.665833333","2.676666667","2.5625","2.510833333","2.509166667","1.3225","0.3475","0.1948892","0.150277937","0.15","0.15","0.15","0.143333333","","",
"Brunei Darussalam","BRN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06475","1.043916667","1.006","1.0415","1.172756667","0.875761458","0.699921292","0.47054075","0.395686667","0.231537407","0.284346667","0.3","0.335774333","0.3411654","0.3155","0.312166667","0.36775","0.23","0.1385","0.141416667","0.192270833","0.388",
"Bhutan","BTN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","5.5","5.5","5.5","6.083333333","6.5","6.5","6.5","6.5","6.5","6.5","8","8","8","8","8.208333333","8.25","8.25","8.25","8.25","7.8125","7.208333333","6.041666667","4.5","4.5","4.5","4.5","2","2","2.208333333","4.5","4.791666667","4.708333333","4.541666667","4","4","2.833333333","2","2.25","3","3","3","3.75","4.5",
"Botswana","BWA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","5","8.666666667","10.75","11.875","10","9","8.666666667","7.5","5","5.583333333","6.114583333","11.4","12.5","13.49083333","10.585","9.785","9.675833333","9.514375","8.432083333","9.098958333","9.416458333","10.08583333","10.45375","9.945104167","9.851041667","9.253825","8.871267857","8.618639167","8.673225","7.469520833","5.597883333","5.1477375","3.6075875","3.1096525","2.534375","2.502291667","2.123008333","1.444183333","1.520108333","1.592361111","1.556766667","1.432966667","1.4923375","2.948729167","2.351159722",
"Central African Republic","CAF","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","4","5.5","7.5","7.5","7.5","7.5","7.5","7.354166667","7.1875","7.4375","7.5","7.5","7.5","7.5","7.75","8.083333333","5.5","5.458333333","5","5","5","5","5","5","5","5","4.916666667","4.333333333","4.25","3.75","3.25","3.25","3.25","3.25","3.208333333","2.6","2.45","2.45","","","","","","","","",
"Canada","CAN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","4.410245902","4.977686703","6.385837887","9.3125","7.354166667","8.645833333","6.958333333","8.1875","11.3125","11.52083333","15.95833333","12.91666667","7.333333333","8.9375","7.791666667","7.083333333","5.6875","6.645833333","9.083333333","9.854166667","5.75","3.916666667","3.208333333","3.980833333","5.2825","3.0025","1.903333333","3.079166667","2.879166667","3.483333333","2.254166667","0.829166667","1.1","0.783333333","0.791666667","1.825","2.083333333","1.5","0.0958333333333333","0.2","0.475","0.483333333","0.55","0.55","0.075","0.1","0.1","","","","","","","",
"Central Europe and the Baltics","CEB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80583333333333","0.0916666666666667","0.0716666666666667","0.0558333333333333","0.0383333333333333","0.0333333333333333","0.0291666666666667","-0.1425","-0.200833333333333","-0.271760460833333","-0.315815475833333","-0.351080896666667","-0.383657405833333","-0.4185307025","-0.1522561575","1.09207704666667","0.92980734",
"Channel Islands","CHI","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","32.09754871","19.04067413","25.28468663","15.16389224","27.78873358","40.35399789","22.34855859","18.29464513","18.24066049","15.11875718","13.73354424","13.48203876","12.01798554","14.91795857","8.560077402","9.200987342","6.187407363","3.79964442","2.733737486","1.93744532","3.931913377","5.105933828","5.610227425","7.489197399","2.047606685","1.751187382","5.286838314","5.788217689","5.168868155","3.919105175","3.608544045","3.815164728","2.93925084","2.702964075","2.534624138","0.85734337","1.276821426","8.986001928","10.40783967","6.069884488",
"China","CHN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","5.4","5.4","5.76","5.76","5.759999999","7.2","7.2","7.2","8.64","11.34","8.64","7.56","7.56","10.98","10.98","10.98","7.47","5.67","3.78","2.25","2.25","2.25","1.98","1.98","2.25","2.25","2.52","4.14","2.25","2.25","2.75","3.5","3","3","2.75","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5",
